,0,1,2
685,685,572,572
686,686,568,572
687,687,568,572
688,688,556,572
689,689,556,572
690,690,552,572
691,691,552,572
692,692,572,572
693,693,572,572
694,694,568,572
695,695,568,572
696,696,556,572
697,697,556,572
698,698,556,572
699,699,556,572
700,700,572,572
701,701,572,572
702,702,572,572
703,703,572,572
704,704,64,0
705,705,64,0
706,706,64,0
707,707,64,0
708,708,592,540
709,709,592,540
710,710,592,540
711,711,592,540
712,712,68,540
713,713,68,540
714,714,64,0
715,715,64,0
716,716,596,540
717,717,596,540
718,718,592,540
719,719,592,540
720,720,76,540
721,721,76,540
722,722,72,540
723,723,72,540
724,724,604,540
725,725,604,540
726,726,600,540
727,727,600,540
728,728,76,540
729,729,76,540
730,730,76,540
731,731,76,540
732,732,604,540
733,733,604,540
734,734,604,540
735,735,604,540
736,736,552,572
737,737,552,572
738,738,552,572
739,739,552,572
740,740,568,572
741,741,568,572
742,742,568,572
743,743,568,572
744,744,556,572
745,745,556,572
746,746,552,572
747,747,552,572
748,748,572,572
749,749,572,572
750,750,568,572
751,751,568,572
752,752,556,572
753,753,556,572
754,754,552,572
755,755,552,572
756,756,572,572
757,757,572,572
758,758,568,572
759,759,568,572
760,760,556,572
761,761,556,572
762,762,556,572
763,763,556,572
764,764,572,572
765,765,572,572
766,766,572,572
767,767,572,572
768,768,0,0
769,769,0,0
770,770,0,0
771,771,0,0
772,772,528,540
773,773,528,540
774,774,528,540
775,775,528,540
776,776,4,540
777,777,4,540
778,778,0,0
779,779,0,0
780,780,532,540
781,781,532,540
782,782,528,540
783,783,528,540
784,784,12,540
785,785,12,540
786,786,8,540
787,787,8,540
788,788,540,540
789,789,540,540
790,790,536,540
791,791,536,540
792,792,12,540
793,793,12,540
794,794,12,540
795,795,12,540
796,796,540,540
797,797,540,540
798,798,540,540
799,799,540,540
800,800,552,572
801,801,552,572
802,802,552,572
803,803,552,572
804,804,568,572
805,805,568,572
806,806,568,572
807,807,568,572
808,808,556,572
809,809,556,572
810,810,552,572
811,811,552,572
812,812,572,572
813,813,572,572
814,814,568,572
815,815,568,572
816,816,556,572
817,817,556,572
818,818,552,572
819,819,552,572
820,820,572,572
821,821,572,572
822,822,568,572
823,823,568,572
824,824,556,572
825,825,556,572
826,826,556,572
827,827,556,572
828,828,572,572
829,829,572,572
830,830,572,572
831,831,572,572
832,832,0,0
833,833,0,0
834,834,0,0
835,835,0,0
836,836,528,540
837,837,528,540
838,838,528,540
839,839,528,540
840,840,4,540
841,841,4,540
842,842,0,0
843,843,0,0
844,844,532,540
845,845,532,540
846,846,528,540
847,847,528,540
848,848,12,540
849,849,12,540
850,850,8,540
851,851,8,540
852,852,540,540
853,853,540,540
854,854,536,540
855,855,536,540
856,856,12,540
857,857,12,540
858,858,12,540
859,859,12,540
860,860,540,540
861,861,540,540
862,862,540,540
863,863,540,540
864,864,552,572
865,865,552,572
866,866,552,572
867,867,552,572
868,868,568,572
869,869,568,572
870,870,568,572
871,871,568,572
872,872,556,572
873,873,556,572
874,874,552,572
875,875,552,572
876,876,572,572
877,877,572,572
878,878,568,572
879,879,568,572
880,880,556,572
881,881,556,572
882,882,552,572
883,883,552,572
884,884,572,572
885,885,572,572
886,886,568,572
887,887,568,572
888,888,556,572
889,889,556,572
890,890,556,572
891,891,556,572
892,892,572,572
893,893,572,572
894,894,572,572
895,895,572,572
896,896,64,0
897,897,64,0
898,898,64,0
899,899,64,0
900,900,592,540
901,901,592,540
902,902,592,540
903,903,592,540
904,904,68,540
905,905,68,540
906,906,64,0
907,907,64,0
908,908,596,540
909,909,596,540
910,910,592,540
911,911,592,540
912,912,76,540
913,913,76,540
914,914,72,540
915,915,72,540
916,916,604,540
917,917,604,540
918,918,600,540
919,919,600,540
920,920,76,540
