,0,1
640,640,64
641,641,64
642,642,64
643,643,64
644,644,592
645,645,592
646,646,592
647,647,592
648,648,68
649,649,68
650,650,64
651,651,64
652,652,596
653,653,596
654,654,592
655,655,592
656,656,76
657,657,76
658,658,72
659,659,72
660,660,604
661,661,604
662,662,600
663,663,600
664,664,76
665,665,76
666,666,76
667,667,76
668,668,604
669,669,604
670,670,604
671,671,604
672,672,552
673,673,552
674,674,552
675,675,552
676,676,568
677,677,568
678,678,568
679,679,568
680,680,556
681,681,556
682,682,552
683,683,552
684,684,572
685,685,572
686,686,568
687,687,568
688,688,556
689,689,556
690,690,552
691,691,552
692,692,572
693,693,572
694,694,568
695,695,568
696,696,556
697,697,556
698,698,556
699,699,556
700,700,572
701,701,572
702,702,572
703,703,572
704,704,64
705,705,64
706,706,64
707,707,64
708,708,592
709,709,592
710,710,592
711,711,592
712,712,68
713,713,68
714,714,64
715,715,64
716,716,596
717,717,596
718,718,592
719,719,592
720,720,76
721,721,76
722,722,72
723,723,72
724,724,604
725,725,604
726,726,600
727,727,600
728,728,76
729,729,76
730,730,76
731,731,76
732,732,604
733,733,604
734,734,604
735,735,604
736,736,552
737,737,552
738,738,552
739,739,552
740,740,568
741,741,568
742,742,568
743,743,568
744,744,556
745,745,556
746,746,552
747,747,552
748,748,572
749,749,572
750,750,568
751,751,568
752,752,556
753,753,556
754,754,552
755,755,552
756,756,572
757,757,572
758,758,568
759,759,568
760,760,556
761,761,556
762,762,556
763,763,556
764,764,572
765,765,572
766,766,572
767,767,572
768,768,0
769,769,0
770,770,0
771,771,0
772,772,528
773,773,528
774,774,528
775,775,528
776,776,4
777,777,4
778,778,0
779,779,0
780,780,532
781,781,532
782,782,528
783,783,528
784,784,12
785,785,12
786,786,8
787,787,8
788,788,540
789,789,540
790,790,536
791,791,536
792,792,12
793,793,12
794,794,12
795,795,12
796,796,540
797,797,540
798,798,540
799,799,540
800,800,552
801,801,552
802,802,552
803,803,552
804,804,568
805,805,568
806,806,568
807,807,568
808,808,556
809,809,556
810,810,552
811,811,552
812,812,572
813,813,572
814,814,568
815,815,568
816,816,556
817,817,556
818,818,552
819,819,552
820,820,572
821,821,572
822,822,568
823,823,568
824,824,556
825,825,556
826,826,556
827,827,556
828,828,572
829,829,572
830,830,572
831,831,572
832,832,0
833,833,0
834,834,0
835,835,0
836,836,528
837,837,528
838,838,528
839,839,528
840,840,4
841,841,4
842,842,0
843,843,0
844,844,532
845,845,532
846,846,528
847,847,528
848,848,12
849,849,12
850,850,8
851,851,8
852,852,540
853,853,540
854,854,536
855,855,536
856,856,12
857,857,12
858,858,12
859,859,12
860,860,540
861,861,540
862,862,540
863,863,540
864,864,552
865,865,552
866,866,552
867,867,552
868,868,568
869,869,568
870,870,568
871,871,568
872,872,556
873,873,556
874,874,552
875,875,552
876,876,572
877,877,572
878,878,568
879,879,568
880,880,556
881,881,556
882,882,552
883,883,552
884,884,572
885,885,572
886,886,568
887,887,568
888,888,556
889,889,556
890,890,556
891,891,556
892,892,572
893,893,572
894,894,572
895,895,572
896,896,64
897,897,64
898,898,64
899,899,64
900,900,592
901,901,592
902,902,592
903,903,592
904,904,68
905,905,68
906,906,64
907,907,64
908,908,596
909,909,596
910,910,592
911,911,592
912,912,76
913,913,76
914,914,72
915,915,72
916,916,604
917,917,604
918,918,600
919,919,600
920,920,76
921,921,76
922,922,76
923,923,76
924,924,604
925,925,604
926,926,604
927,927,604
928,928,552
929,929,552
930,930,552
931,931,552
932,932,568
933,933,568
934,934,568
935,935,568
936,936,556
937,937,556
938,938,552
939,939,552
940,940,572
941,941,572
942,942,568
943,943,568
944,944,556
945,945,556
946,946,552
947,947,552
948,948,572
949,949,572
950,950,568
951,951,568
952,952,556
953,953,556
954,954,556
955,955,556
956,956,572
957,957,572
958,958,572
959,959,572
960,960,64
961,961,64
962,962,64
963,963,64
964,964,592
965,965,592
966,966,592
967,967,592
968,968,68
969,969,68
970,970,64
971,971,64
972,972,596
973,973,596
974,974,592
975,975,592
976,976,76
977,977,76
978,978,72
979,979,72
980,980,604
981,981,604
982,982,600
983,983,600
984,984,76
985,985,76
986,986,76
987,987,76
988,988,604
989,989,604
990,990,604
991,991,604
992,992,552
993,993,552
994,994,552
995,995,552
996,996,568
997,997,568
998,998,568
999,999,568
1000,1000,556
1001,1001,556
1002,1002,552
1003,1003,552
1004,1004,572
1005,1005,572
1006,1006,568
1007,1007,568
1008,1008,556
1009,1009,556
1010,1010,552
1011,1011,552
1012,1012,572
1013,1013,572
